s,tau,mu1,mu2,gamma1,gamma2
0.05751395916796913,0.8836302230846513,-1.3981670397426493,-0.685973519798494,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.8836302230846513,-1.3981670397426493,-0.685973519798494,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9112380778724445,-1.3981670397426493,-0.685973519798494,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9693371826196571,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.05751395916796913,0.9067057964216607,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.06551507229585231,0.9067057964216607,-1.2564268380890364,-0.5647098191751488,-0.1383261205683451,0.13870580967955842
0.06551507229585231,0.9067057964216607,-1.2564268380890364,-0.5647098191751488,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9067057964216607,-1.2564268380890364,-0.5647098191751488,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9572593483287308,-1.431037369428547,-0.5258898597866447,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9572593483287308,-1.431037369428547,-0.5258898597866447,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9572593483287308,-1.431037369428547,-0.5258898597866447,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9931606374001118,-1.431037369428547,-0.5258898597866447,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9395264594191997,-1.3030748613923757,-0.5615918105718167,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9395264594191997,-1.3030748613923757,-0.5615918105718167,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9395264594191997,-1.3030748613923757,-0.5615918105718167,-0.4509576065051988,0.06380710179848678
0.06551507229585231,0.9395264594191997,-1.3030748613923757,-0.5615918105718167,-0.4509576065051988,0.06380710179848678
