s,tau,mu1,mu2,gamma1,gamma2
0.028710438984411595,0.9864156957950174,-1.2815375776725597,-0.6054189988154502,-0.28715600711228967,0.33556675055035656
0.0320936803076935,0.934991931236731,-1.371806872617744,-0.5776684941086,-0.3283727493996547,0.453243149128838
0.01826226059776407,0.9441903558418892,-1.351859908133796,-0.6133617062287992,-0.22262021849583288,0.34387571360813185
0.02072956890231247,0.9528131905301123,-1.3835596527740621,-0.5969170358229848,-0.28048859803775555,0.23672691983945188
0.022671649802198407,0.9118554785442868,-1.3819710744211078,-0.5971365332240847,-0.30210620666507493,0.42433645993998714
0.018328635290994093,0.9594839353485141,-1.3585552035606077,-0.6590001770695273,-0.24936644566073368,0.2951781908752692
0.016816775764822347,0.9653844005721518,-1.3031476704464673,-0.6258897189117325,-0.2637965344456849,0.33823414253960077
0.02304305629844627,0.9237014407273323,-1.3711776366388868,-0.589474233009254,-0.27707940908007483,0.37235646752148505
0.03312003258919184,0.9565853034386101,-1.4173865461931072,-0.6305862695894953,-0.06351781004798548,0.4436221451220746
0.01902759922429805,0.8951140856734422,-1.5597885426989762,-0.7037373697087127,-0.23610852540962102,0.4361662069437133
0.020395829977143995,0.8235327837090407,-1.5089174316715277,-0.7823272147084691,-0.11632854506419059,0.4427904754614259
0.017283786092717725,0.8087942699478078,-1.456123585007525,-0.7247293971247178,-0.1853164036259961,0.3091884535428486
0.01685310587889698,0.8920807349051357,-1.4297546762498716,-0.6577278470502137,-0.22224992749237996,0.3705839631628157
0.017658244130118732,0.8939584782439313,-1.4400384413089022,-0.7156218464246501,-0.25643785101010313,0.31706898467379063
0.019241510342519554,0.8843231458275307,-1.4585310120946438,-0.617248107745842,-0.1937599955801636,0.23142835925562938
0.028390260535818165,0.9190522389654237,-1.4111746243941492,-0.6385827916197822,-0.12298674051518374,0.3952147677882134
0.022259273054104984,0.9104918362492912,-1.4657400284514313,-0.5810909627189724,-0.22426522008593436,0.34267220706461793
0.015191878737838057,0.9251029553502121,-1.363098080734086,-0.6651661299899491,-0.28087455815293894,0.3743711160669451
0.02501449655618082,0.8828977708173971,-1.4339003950682356,-0.7398096789078719,-0.21449717823459066,0.37527303243174137
0.025664119423022942,0.8625803301711752,-1.4161354497539467,-0.7164175524704072,-0.3045451846569434,0.3181683822239998
0.027699514667684368,0.837758476919767,-1.4753207131704191,-0.7167604081579098,-0.3403646979633036,0.28444353375533815
0.029363843349144755,0.7636778801648838,-1.4482757259315513,-0.6988154178535372,-0.2341192757910302,0.1988034601840635
0.02902393067696143,0.8560945541517248,-1.4144728992290339,-0.5709451220282148,-0.3856731904553143,0.179373119848762
